,tradeDate,secID,ticker,assetClass,exchangeCD,secFullName,currencyCD,tradePrice,tradeVal,tradeVol,buyerBD,sellerBD
70,2012-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,14.3,614.9,43.0,华泰证券股份有限公司北京月坛南街证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
71,2012-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,14.3,1577.29,110.3,华泰证券股份有限公司北京月坛南街证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
72,2012-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,14.3,943.8,66.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
73,2012-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,13.78,2204.8,160.0,宏源证券股份有限公司深圳福华一路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
74,2012-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,13.78,551.2,40.0,招商证券股份有限公司深圳笋岗路证券营业部,海通证券股份有限公司盐城建军中路证券营业部
75,2012-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,14.3,943.8,66.0,中国国际金融有限公司上海淮海中路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
76,2012-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,13.78,909.48,66.0,招商证券股份有限公司深圳笋岗路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
77,2012-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,14.3,1973.4,138.0,中国国际金融有限公司深圳福华一路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
78,2012-07-27,002594.XSHE,002594,E,XSHE,比亚迪,CNY,14.3,414.7,29.0,华泰证券股份有限公司上海瑞金一路证券营业部,中国国际金融有限公司宁波扬帆路证券营业部
79,2012-07-31,002594.XSHE,002594,E,XSHE,比亚迪,CNY,12.78,1993.68,156.0,招商证券股份有限公司深圳笋岗路证券营业部,海通证券股份有限公司盐城建军中路证券营业部
80,2012-07-31,002594.XSHE,002594,E,XSHE,比亚迪,CNY,12.78,417.47,32.67,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
81,2012-08-01,002594.XSHE,002594,E,XSHE,比亚迪,CNY,12.78,417.47,32.67,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司深圳分公司海德三道证券营业部
82,2012-08-01,002594.XSHE,002594,E,XSHE,比亚迪,CNY,12.78,1252.44,98.0,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
83,2012-08-02,002594.XSHE,002594,E,XSHE,比亚迪,CNY,12.84,979.69,76.3,海通证券股份有限公司深圳分公司海德三道证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
84,2012-08-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,12.97,1945.5,150.0,招商证券股份有限公司深圳笋岗路证券营业部,海通证券股份有限公司盐城建军中路证券营业部
85,2012-08-06,002594.XSHE,002594,E,XSHE,比亚迪,CNY,12.98,2596.0,200.0,中国银河证券股份有限公司深圳宝安路证券营业部,海通证券股份有限公司丹阳丹金路证券营业部
86,2012-08-09,002594.XSHE,002594,E,XSHE,比亚迪,CNY,13.53,1217.7,90.0,东吴证券股份有限公司深圳宝安大道证券营业部,海通证券股份有限公司盐城建军中路证券营业部
