,secID,ticker,secShortName,exchangeCD,partyID,changeDate,totalShares,sharesA,sharesB,floatA,nonrestfloatA,floatB,restShares,nonrestFloatShares
0,002415.XSHE,002415,海康威视,XSHE,36868,2016-09-13,6103158300,6103158300,,6103158300,4714084900.0,,1389073400.0,4714084900
1,002415.XSHE,002415,海康威视,XSHE,36868,2016-06-30,6103158300,6103158300,,6103158300,4706464200.0,,1396694100.0,4706464200
2,002415.XSHE,002415,海康威视,XSHE,36868,2016-05-18,6103158400,6103158400,,6103158400,4721326500.0,,1381831900.0,4721326500
3,002415.XSHE,002415,海康威视,XSHE,36868,2016-04-25,4068772300,4068772300,,4068772300,3171907600.0,,896864700.0,3171907600
4,002415.XSHE,002415,海康威视,XSHE,36868,2015-12-31,4068772300,4068772300,,4068772300,3155407600.0,,913364700.0,3155407600
5,002415.XSHE,002415,海康威视,XSHE,36868,2015-11-23,4068772300,4068772300,,4068772300,3155707600.0,,913064700.0,3155707600
6,002415.XSHE,002415,海康威视,XSHE,36868,2015-09-14,4069128100,4069128100,,4069128100,3155707600.0,,913420500.0,3155707600
7,002415.XSHE,002415,海康威视,XSHE,36868,2015-06-30,4069128000,4069128000,,4069128000,3150471100.0,,918656900.0,3150471100
8,002415.XSHE,002415,海康威视,XSHE,36868,2015-01-08,4069128000,4069128000,,4069128000,3150467500.0,,918660500.0,3150467500
9,002415.XSHE,002415,海康威视,XSHE,36868,2014-12-31,4016217944,4016217944,0.0,4016217944,3150471106.0,,865746838.0,3150471106
10,002415.XSHE,002415,海康威视,XSHE,36868,2014-11-12,4016217944,4016217944,,4016217944,3150467506.0,,865750438.0,3150467506
11,002415.XSHE,002415,海康威视,XSHE,36868,2014-09-24,4017223222,4017223222,,4017223222,3150467506.0,,866755716.0,3150467506
12,002415.XSHE,002415,海康威视,XSHE,36868,2014-06-30,4017223222,4017223222,,4017223222,3145223275.0,,871999947.0,3145223275
13,002415.XSHE,002415,海康威视,XSHE,36868,2014-01-02,4017223222,4017223222,,4017223222,3040107175.0,,977116047.0,3040107175
14,002415.XSHE,002415,海康威视,XSHE,36868,2013-12-31,4017223222,4017223222,,4017223222,3040110775.0,,977112447.0,3040110775
15,002415.XSHE,002415,海康威视,XSHE,36868,2013-07-10,4017223222,4017223222,,4017223222,2941885300.0,,1075337922.0,2941885300
16,002415.XSHE,002415,海康威视,XSHE,36868,2013-06-30,2008611611,2008611611,,2008611611,1470942650.0,,537668961.0,1470942650
17,002415.XSHE,002415,海康威视,XSHE,36868,2013-05-28,2008611611,2008611611,,2008611611,1443118550.0,,565493061.0,1443118550
18,002415.XSHE,002415,海康威视,XSHE,36868,2013-01-21,2008611611,2008611611,,2008611611,571018550.0,,1437593061.0,571018550
19,002415.XSHE,002415,海康威视,XSHE,36868,2012-12-31,2008611611,2008611611,,2008611611,537118550.0,,1471493061.0,537118550
20,002415.XSHE,002415,海康威视,XSHE,36868,2012-09-13,2008611611,2008611611,,2008611611,537118550.0,,1471493061.0,537118550
21,002415.XSHE,002415,海康威视,XSHE,36868,2012-06-30,2000000000,2000000000,,2000000000,537116850.0,,1462883150.0,537116850
22,002415.XSHE,002415,海康威视,XSHE,36868,2012-06-13,2000000000,2000000000,,2000000000,537118550.0,,1462881450.0,537118550
23,002415.XSHE,002415,海康威视,XSHE,36868,2012-05-31,1000000000,1000000000,,1000000000,262260625.0,,737739375.0,262260625
24,002415.XSHE,002415,海康威视,XSHE,36868,2011-12-31,1000000000,1000000000,,1000000000,249737500.0,,750262500.0,249737500
25,002415.XSHE,002415,海康威视,XSHE,36868,2011-06-30,1000000000,1000000000,,1000000000,249737500.0,,750262500.0,249737500
26,002415.XSHE,002415,海康威视,XSHE,36868,2011-05-30,1000000000,1000000000,0.0,1000000000,249737500.0,0.0,750262500.0,249737500
27,002415.XSHE,002415,海康威视,XSHE,36868,2011-04-20,1000000000,1000000000,,1000000000,100000000.0,,900000000.0,100000000
28,002415.XSHE,002415,海康威视,XSHE,36868,2010-12-31,500000000,500000000,,500000000,50000000.0,,450000000.0,50000000
29,002415.XSHE,002415,海康威视,XSHE,36868,2010-08-30,500000000,500000000,,500000000,50000000.0,,450000000.0,50000000
30,002415.XSHE,002415,海康威视,XSHE,36868,2010-06-30,500000000,500000000,,500000000,40000000.0,,460000000.0,40000000
31,002415.XSHE,002415,海康威视,XSHE,36868,2010-05-28,500000000,500000000,,500000000,40000000.0,,460000000.0,40000000
32,002415.XSHE,002415,海康威视,XSHE,36868,2010-05-19,500000000,500000000,,500000000,40000000.0,,460000000.0,40000000
33,002415.XSHE,002415,海康威视,XSHE,36868,2010-05-07,450000000,450000000,0.0,0,0.0,0.0,,0
34,002415.XSHE,002415,海康威视,XSHE,36868,2009-06-30,450000000,450000000,,450000000,,,,0
35,002415.XSHE,002415,海康威视,XSHE,36868,2008-12-31,450000000,450000000,,450000000,,,,0
36,002415.XSHE,002415,海康威视,XSHE,36868,2007-12-31,140000000,140000000,,140000000,,,,0
37,002415.XSHE,002415,海康威视,XSHE,36868,2006-12-31,50000000,50000000,,50000000,,,,0
